Grain #,,Area,equivalent_diameter,orientation,MajorAxisLength,MinorAxisLength,Perimeter,MinIntensity,MeanIntensity,MaxIntensity
29,,215.5,16.56451393462626,70.33554360607566,21.780859865662613,14.140134515676637,68.87310601229375,35,196.08932714617168,223
30,,202.75,16.067025788709444,-85.07862324763325,17.99415901404859,15.38979787639304,62.18376618407356,61,199.7928483353884,223
31,,60.5,8.77673016883152,64.61635710266344,10.087442279461069,8.133340835150184,32.09188309203679,48,195.2479338842975,224
32,,55.0,8.368283871884005,-64.92909122273343,8.759312541923764,8.177750351881036,28.72792206135786,75,196.3090909090909,223
33,,107.5,11.699284211396439,70.01293019209427,12.920246534996203,10.864317510537912,42.298989873223334,57,196.28372093023256,227
34,,48.75,7.878478774854901,-64.63509350672086,10.767786978760594,5.915055919047969,28.88477631085023,57,189.51282051282053,224
35,,22.5,5.352372348458314,83.71315631049674,6.896787204107356,4.345538974317275,18.606601717798213,101,200.17777777777778,222
36,,348.25,21.057199990834974,56.61266093170564,22.32583561323429,20.241621429177446,80.1010280736516,38,197.08040201005025,218
37,,64.0,9.0270333367641,-40.33030323659333,10.242195357956755,8.167180784352263,32.12741699796952,64,197.96484375,228
38,,66.0,9.166995688475081,81.05598491500514,10.301437988716708,8.52454075101294,33.298989873223334,48,192.4848484848485,223
39,,141.5,13.422495877444907,69.81098871963471,19.001882425790317,9.76397584265569,53.90559159102154,48,194.2173144876325,222
40,,106.0,11.617374563210365,-87.84911874448693,16.337812998906962,9.259925039187161,47.21320343559642,73,194.33254716981133,220
41,,278.5,18.83075179616424,6.811324129106905,26.865310508880288,13.896732284256911,73.51219330881976,38,199.31328545780968,233
42,,59.75,8.722159296752494,57.82781850304447,10.078924796264888,7.8826085748425685,31.435028842544405,84,199.34728033472803,228
43,,28.5,6.023896332520351,82.38160173401921,7.505721650424072,4.991645806314145,22.349242404917497,99,189.42105263157896,222
44,,578.25,27.133941231290155,73.26452919358381,29.95239537775925,24.877784456465342,100.7401153701776,3,193.71076523994813,223
