,Area,equivalent_diameter,orientation,MajorAxisLength,MinorAxisLength,Perimeter,MinIntensity,MeanIntensity,MaxIntensity
139,22920000,5402.096849,89.82023275,8438.439599,4052.748165,25948.02307,158,201.2321117,224
140,21760000,5263.619714,-36.95456365,6289.872011,4537.016073,19899.49494,158,199.0183824,219
141,50120000,7988.414485,-8.894201583,9072.377509,7807.862956,37156.34919,158,201.8539505,222
142,5800000,2717.496892,114.0543466,3282.338864,2474.859652,9442.640687,161,202.062069,222
143,22040000,5297.376668,180.2552619,5833.683625,5003.550554,17733.80951,158,203.5716878,219
144,35880000,6758.981792,-146.55035,8012.007904,6223.361335,29430.86579,158,201.5128205,225
145,7360000,3061.215943,-300.4039695,3858.766391,2542.429626,10925.4834,159,201.4782609,225
146,25520000,5700.269571,-296.7370228,6288.490337,5284.002932,21188.2251,159,202.2319749,222
147,2720000,1860.970597,-289.9500398,2659.551636,1381.840821,6379.898987,158,198.8676471,222
148,6000000,2763.953196,71.94352954,3639.298147,2185.048918,9394.11255,159,201.7533333,220
149,4080000,2279.214194,-55.0870887,3617.539722,1541.292459,8379.898987,159,199.2058824,222
150,8080000,3207.456238,-299.1755126,4078.811793,2613.870494,10711.26984,160,199.8316832,219
151,8440000,3278.130833,-43.91171259,3443.947569,3149.632398,10408.32611,159,202.3317536,225
152,43840000,7471.199478,-156.4478369,8565.879552,6715.54833,28667.61902,159,198.6751825,225
153,40880000,7214.570853,-204.4850331,8232.11737,7790.59288,30639.1919,158,199.462818,228
154,37880000,6944.804818,-37.81678003,7910.64126,6660.163929,31693.60749,158,203.5395987,223
155,2680000,1847.236309,-243.8946135,2583.864664,1348.969328,6028.427125,162,202.2835821,231
156,4640000,2430.603112,198.8095898,3016.600234,1975.81196,7842.640687,161,200.2758621,221
157,43800000,7467.790306,-222.5135642,9202.102146,7177.574862,40239.1919,158,205.7150685,233
158,32280000,6410.941624,-271.9016755,7735.203759,5529.233012,22748.02307,161,205.2094176,226
159,6000000,2763.953196,136.309704,3314.963597,2426.599522,9374.011537,158,201.7733333,227
160,12080000,3921.827852,306.2547967,5651.149765,3123.513068,17022.53967,160,205.0662252,230
161,3800000,2199.615937,-310.2821609,4702.442206,1050.192522,9531.37085,163,203.3684211,217
162,16080000,4524.78639,-32.01299754,5983.043386,4077.259956,20505.38239,158,200.5671642,222
163,28920000,6068.120601,143.0727507,6361.430475,5858.935179,21430.86579,159,204.3803596,220
164,37640000,6922.769422,-163.7811081,8444.095884,6361.226281,33893.60749,158,203.9426142,221
165,10120000,3589.593876,-223.7285724,4344.631434,3040.299892,12242.64069,159,205.687747,223
166,15880000,4496.559126,287.0952524,5882.999839,3498.349284,15539.69696,160,199.9269521,221
167,39360000,7079.17428,-120.775542,8256.296769,6327.268952,24982.33765,158,201.3119919,218
168,28280000,6000.601164,257.4756519,6738.646404,5583.436785,22416.65222,158,202.1796322,217
169,40840000,7211.040355,-183.2210448,10260.89117,5746.924266,31148.02307,158,206.6562194,230
170,1120000,1194.164264,23.41350084,1828.830431,801.4474583,3882.842712,161,193.1071429,212
171,11280000,3789.741688,242.9804958,4418.652969,3422.696605,13471.06781,160,200.1702128,220
172,31160000,6298.741479,245.0439899,7784.638542,5573.181164,31907.82105,158,204.4813864,228
173,10880000,3721.941193,-271.2602208,4941.036542,2881.594817,14408.32611,159,198.7169118,220
174,13560000,4155.132757,287.6645298,4628.759232,3797.986486,13539.69696,158,206.8967552,226
175,9400000,3459.545016,-245.187855,4692.219525,2807.303959,13471.06781,160,202.9361702,222
176,19520000,4985.342106,65.10994216,6328.440039,4009.498279,17402.43866,160,202.2581967,221
177,10520000,3659.846993,284.2920614,6175.134714,2196.297383,14076.95526,158,204.7338403,221
178,16480000,4580.719124,237.5063696,4795.729317,4494.237155,15256.85425,160,206.3980583,223
179,9840000,3539.58714,263.3962537,4839.084372,2644.728537,12359.79797,158,202.0325203,229
180,31360000,6318.923336,-308.5585531,7881.699049,5263.985934,22465.18036,158,207.190051,228
181,25440000,5691.327966,290.3433533,6109.739436,5455.725531,20582.33765,158,201.1603774,218
182,41920000,7305.764964,112.3172426,8216.265818,6586.973986,25079.39392,159,199.3769084,225
183,46560000,7699.482658,-285.0807153,10066.13452,6172.741499,27927.92206,158,205.967354,226
184,23120000,5425.615013,205.5804556,6724.737226,4518.927279,20699.49494,158,208.9048443,228
185,16400000,4569.587348,3.985591575,5725.08043,4271.303014,20202.43866,158,202.7756098,225
186,2480000,1776.973289,172.3823098,2705.60069,1285.513472,6311.269837,160,199.7419355,219
187,50240000,7997.971913,-79.94653619,9897.117706,7606.818291,39150.46174,159,203.8415605,229
188,68320000,9326.721058,-292.6293984,11109.68662,10458.47235,58378.88886,158,208.8149883,233
189,12320000,3960.594803,113.0635941,5329.024427,3052.940583,13939.69696,158,205.7142857,231
190,10560000,3666.798275,-257.5674261,4341.583158,3196.568126,12222.53967,159,205.3787879,227
191,18160000,4808.537213,-147.9111435,6810.27539,3757.98808,18836.75324,158,200.9140969,224
192,24120000,5541.708926,7.056591959,7284.87058,4392.755699,19850.9668,160,208.0597015,226
193,9600000,3496.154978,98.34832164,3917.038583,3226.282324,13588.2251,158,202.4333333,225
194,10480000,3652.882482,199.3397452,5167.183236,2726.766184,13236.75324,161,203.4656489,223
195,920000,1082.303276,-314.1592654,1081.06228,1072.072001,2965.685425,158,195.6086957,230
196,6520000,2881.236164,87.50294333,4367.813989,2136.740304,11656.85425,158,204.7730061,225
197,3040000,1967.396304,306.8185963,2872.234199,1475.232012,7062.7417,162,211.1447368,234
198,22160000,5311.778263,-283.1555258,7016.207495,4352.032286,19353.91052,158,209.5523466,232
199,55080000,8374.367685,142.0445162,10044.44497,7872.404697,37839.1919,158,206.4931009,228
200,20720000,5136.294712,-178.5865738,6118.125447,4415.255721,17265.18036,160,207.1235521,227
201,49080000,7905.099421,-263.948187,8056.905836,7908.619126,31722.03461,159,202.9193154,222
202,1000000,1128.379167,-241.2080292,1320.595267,956.207164,3248.528137,181,205.16,219
203,1440000,1354.055001,-197.1489985,1496.208051,1242.410435,4048.528137,169,203.1388889,228
204,10000000,3568.248232,235.3235723,4169.323028,3135.068517,11959.79797,159,205.88,224
205,32560000,6438.686169,149.1038624,6805.099601,6269.16428,24016.65222,158,206.97543,226
206,8080000,3207.456238,-311.317788,3997.129493,2632.446907,10711.26984,159,207.9158416,224
207,19560000,4990.447424,-257.8504335,6687.942947,3882.575027,18153.91052,160,208.7034765,225
208,5160000,2563.184748,-148.3493418,4469.740782,1529.554722,9939.696962,158,200.4263566,225
209,32720000,6454.486649,-208.3083024,8004.509291,5562.536303,27224.97834,158,203.9132029,227
210,12640000,4011.701365,-161.8183829,4880.772781,3387.709156,13656.85425,158,202.5379747,218
211,20360000,5091.478875,121.0479228,6725.857507,4035.649188,18982.33765,159,204.0353635,227
212,960000,1105.581278,-64.35011088,1264.911064,983.1920803,3248.528137,158,200.5416667,220
213,12040000,3915.329375,238.8887733,5395.719007,3199.989534,16105.38239,158,205.1328904,230
214,3600000,2140.948939,287.7858713,2661.214577,1744.955675,6828.427125,159,200.2444444,221
215,13080000,4080.927988,-201.9918951,4855.567737,3481.278573,13774.01154,158,203.440367,220
216,39960000,7132.927324,107.8433349,8949.832749,6182.82016,26699.49494,159,204.3393393,224
217,8960000,3377.606597,-119.6624177,5061.696739,2427.97085,12505.38239,162,208.2410714,225
218,18120000,4803.238548,-149.7260411,6012.360788,3936.105148,17050.9668,158,203.3509934,224
219,47960000,7814.382161,-246.3050528,8363.600107,7570.999402,26776.4502,158,206.3753128,224
220,37240000,6885.887063,-151.9032499,7958.659449,6132.125685,23382.33765,159,205.6713212,226
221,720000,957.461473,0,1066.666667,843.2740427,2565.685425,170,197.8888889,228
222,12680000,4018.04398,-289.2666806,4638.657655,3513.321415,13374.01154,158,210.7981073,229
223,720000,957.461473,233.4921104,1108.518692,798.6569823,2565.685425,158,198.1111111,219
224,880000,1058.513486,-314.1592654,1293.339581,854.3520091,2965.685425,165,205.5909091,240
225,19920000,5036.162401,-174.3212374,5519.719791,4711.325423,17168.12409,158,202.1787149,224
226,51080000,8064.556773,-277.354623,8503.168935,8424.893776,38170.56275,158,211.8723571,237
227,600000,874.0387445,157.0796327,923.7604307,805.3156731,2282.842712,173,196,225
228,6280000,2827.710088,78.29649379,3471.033681,2383.219597,9491.168825,159,200.7197452,220
229,5640000,2679.752047,304.0440768,3182.322855,2307.432603,8945.584412,158,206.2553191,225
230,20320000,5086.474963,-163.3614954,7833.682299,3714.388956,21471.06781,158,206.2066929,230
231,2480000,1776.973289,8.574149906,2180.472017,1620.962334,5979.898987,158,203.2419355,232
232,13440000,4136.706357,116.5609928,4997.682109,3559.461548,16361.01731,158,206.0982143,226
233,6360000,2845.663983,24.11823169,3499.779694,2390.49725,9462.7417,162,202.490566,219
234,4400000,2366.908109,-255.9344344,2932.187718,1959.743822,7814.213562,159,205.3818182,221
235,38480000,6999.589822,241.9528673,12037.50521,4662.034696,33479.39392,160,212.3690229,229
236,2280000,1703.815178,-111.3722253,2302.140166,1424.750384,6311.269837,162,201.1929825,228
237,1200000,1236.077446,203.6503665,1318.21365,1195.362101,3648.528137,162,205.2333333,238
238,11840000,3882.673848,251.7765711,4269.103854,3695.572724,13374.01154,158,203.6858108,221
239,3720000,2176.338923,-52.04584495,2492.575917,1954.752584,6965.685425,163,210.2473118,225
240,1760000,1496.964127,105.4411739,1754.371338,1347.492088,4614.213562,161,205.5681818,234
241,24840000,5623.812789,-203.6140508,6745.280239,4761.887116,20582.33765,159,202.9452496,224
242,26400000,5797.717135,164.1608457,6920.752195,5059.503716,20230.86579,158,211.2015152,232
243,7040000,2993.928255,64.574754,3303.252159,2817.604847,9842.640687,158,199.7897727,221
244,14840000,4346.823535,126.0489159,4788.875555,4045.737641,14574.01154,158,202.6226415,224
245,39360000,7079.17428,230.9727667,8351.791897,6334.727027,31390.66376,158,203.8038618,224
246,21120000,5185.635852,63.48722489,5306.089391,5102.717622,17002.43866,159,212.3143939,235
247,1800000,1513.879513,-229.11498,2029.482693,1160.857495,4897.056275,159,206.4666667,230
248,4680000,2441.057367,-97.25984859,3483.83709,1769.082788,8476.955262,158,203.5555556,223
249,11240000,3783.016321,-4.863433989,3935.734339,3754.712732,13968.12409,159,206.3487544,233
250,360000,677.0275003,157.0796327,,,,,,
