label,mean_AF568,mean_AF488,ratio_AF568_AF488
39,137.5238558909445,517.1918208373904,0.26590493188441816
40,175.94904458598725,522.7791932059448,0.33656474257703195
41,176.35302197802199,650.9093406593406,0.27093330969776014
42,181.40740740740742,632.7688378033206,0.2866882763019267
43,171.92096219931273,478.57159221076745,0.3592377086260421
44,159.40542285345384,784.749515816656,0.20312904900306603
45,139.74556213017752,943.7917159763314,0.14806822285530857
46,226.67579250720462,614.6844380403459,0.368767742404317
47,152.68457711442787,534.5194029850746,0.2856483343013299
48,166.8614834673816,499.45665773011615,0.33408601304008645
49,142.83494208494207,637.0994208494209,0.22419568659237765
50,128.55465587044534,652.4008097165992,0.19704858417678708
51,181.25563325563326,458.05205905205906,0.39570967900623055
52,123.36608344549126,638.056527590848,0.1933466364042896
53,201.2933025404157,821.35103926097,0.2450758481069606
54,260.7065637065637,602.3256113256114,0.432833269587848
55,142.6855388813097,650.0068212824011,0.21951391002298223
56,137.70331815224463,499.12556929082626,0.2758891281564636
57,123.99132589838909,715.8748451053284,0.17320251821412436
58,178.42352941176472,686.0686274509804,0.26006659140599325
59,149.8471544715447,580.8357723577236,0.25798540930646613
60,124.72459016393442,449.29672131147544,0.2775996001036228
61,130.55315203955502,490.4789864029666,0.2661748120892899
62,170.2552219321149,531.1142297650131,0.3205623430715514
63,140.87334137515077,501.0820265379976,0.2811382845807745
64,202.25882352941176,819.0423529411764,0.2469455001967865
65,344.09889173060526,572.694799658994,0.6008416558618933
66,150.49251603706344,569.1667854597291,0.2644084649379306
67,181.90949720670392,545.3765363128491,0.33354844789720395
68,213.88540245566168,570.6371077762619,0.37481860107058246
69,142.9472081218274,556.8446700507615,0.25670930478475523
70,118.50038197097021,491.7647058823529,0.2409696762567576
71,137.86445012787723,738.2472293265132,0.18674563838681515
72,128.0800395256917,643.794466403162,0.1989455427308448
73,228.9060939060939,1065.2647352647352,0.21488188459482524
74,230.48551360842845,660.8419666374012,0.34877553975759235
75,137.55102040816325,459.66110080395794,0.29924442196127393
76,129.9540159411404,642.5107296137339,0.20225968213677373
77,202.8511821974965,588.7830319888734,0.3445262026527455
78,165.5631141345427,568.9916855631142,0.29097633293303715
79,188.57954545454547,571.7386363636364,0.32983523145111604
80,161.90134907251266,706.3364249578415,0.22921279910232
81,148.415559772296,463.61290322580646,0.320128190435651
82,208.15272373540856,640.1760700389106,0.325149179229328
83,237.6922486569455,490.9363008442057,0.484161078022167
84,116.25596816976127,506.6949602122016,0.2294397562609934
85,129.90241635687732,789.1124535315985,0.16461838331851347
86,141.98894154818325,520.6492890995261,0.27271513573706424
87,124.11819887429644,610.3020637898686,0.2033717502174976
88,209.04419410745234,723.2374350086656,0.28903951038561443
89,137.92948717948718,1009.9961538461539,0.13656436873966263
90,144.7430488974113,493.960690316395,0.2930254405562101
91,327.2957746478873,821.2816901408451,0.3985182898595462
92,128.47830474268414,637.4490413723512,0.20155070665113214
93,132.48023064250413,485.45963756177923,0.27289648900140495
94,170.55347793567688,663.6252804786836,0.25700268352142025
95,150.54510703363914,472.31345565749234,0.3187398225275419
96,135.73277661795407,508.6179540709812,0.2668658774853465
97,133.744702320888,486.69424823410696,0.2748023072106553
98,192.12814645308924,585.4450800915332,0.32817450002833803
99,146.89335664335664,596.888986013986,0.24609828642392592
100,168.15758091993186,536.118398637138,0.3136575453246966
101,247.12844036697248,684.1926605504588,0.36119715193692425
102,153.66534391534393,558.6031746031746,0.2750885617943472
103,195.45945945945945,601.2189189189189,0.3251053040894399
104,167.5397877984085,692.6777188328913,0.24187263895350952
105,122.82608695652173,801.7572463768116,0.1531961045710283
106,242.07142857142858,883.7142857142857,0.27392499191723246
107,137.75,510.85714285714283,0.26964485458612975
